address,metro_stations,total_info,price,price_per_meter,developer,additional_flat_info,bti_house_data
"Москва, ЗАО, р-н Раменки, 2-й Мосфильмовский пер., 6На карте",Ломоносовский проспект ⋅ 6 мин. на транспортеМинская ⋅ 8 мин. на транспортеЛужники ⋅ 8 мин. на транспорте,"37 м²
Общая
20 м²
Жилая
10 м²
Кухня
5 из 12
Этаж
1965
Построен",9 900 000 ₽,N_A,Capital Mars,"Тип жилья
Вторичка
Площадь комнат
20 м²
Высота потолков
2,7 м
Санузел
1 совмещенный
Балкон/лоджия
1 балкон
Ремонт
Косметический
Вид из окон
Во двор","О доме
По данным Циан
Год постройки
1965
Строительная серия
II-18
Тип дома
Панельный
Тип перекрытий
Железобетонные
Подъезды
1
Лифты
Есть
Отопление
Центральное
Аварийность
Нет
Мусоропровод
Есть"
"Москва, ЮВАО, р-н Лефортово, Душинская ул., 16На карте",Площадь Ильича ⋅ 5 мин. на транспортеАвиамоторная ⋅ 16 мин. пешкомРимская ⋅ 5 мин. на транспорте,"46,3 м²
Общая
6 из 22
Этаж",14 200 000 ₽,N_A,Владимир Фетискин,"Тип жилья
Вторичка
Высота потолков
3 м
Санузел
1 совмещенный
Балкон/лоджия
1 лоджия
Ремонт
Дизайнерский
Вид из окон
Во двор","О доме
По данным Циан
Год постройки
2019
Тип перекрытий
Железобетонные
Подъезды
2
Лифты
4 всего
Отопление
Центральное
Аварийность
Нет
Парковка
Подземная"
"Москва, ЦАО, р-н Арбат, Большой Афанасьевский пер., 32/9На карте",Арбатская ⋅ 6 мин. пешкомКропоткинская ⋅ 9 мин. пешкомАлександровский сад ⋅ 11 мин. пешком,"114 м²
Общая
4 из 8
Этаж
1905
Построен",49 999 990 ₽,N_A,FS PROPERTY,"Тип жилья
Вторичка
Планировка
Изолированная
Санузел
1 совмещенный
Балкон/лоджия
1 балкон
Ремонт
Дизайнерский","О доме
По данным Циан
Год постройки
1905
Тип перекрытий
Железобетонные
Подъезды
2
Лифты
Есть
Отопление
Центральное
Аварийность
Нет
Парковка
Подземная"
"Москва, ЦАО, р-н Басманный, Бакунинская ул., 5На карте",Бауманская ⋅ 2 мин. пешкомКрасносельская ⋅ 17 мин. пешкомЭлектрозаводская ⋅ 2 мин. на транспорте,"59,1 м²
Общая
18,3 м²
Жилая
30,7 м²
Кухня
6 из 12
Этаж
4 кв. 2020
Срок сдачи",19 871 193 ₽,N_A,VESTA Development,"Тип жилья
Новостройка Апартаменты
Площадь комнат
18.34 м²
Санузел
1 совмещенный
Отделка
Чистовая",N_A
"Москва, ЦАО, р-н Басманный, Бакунинская ул., 5На карте",Бауманская ⋅ 2 мин. пешкомКрасносельская ⋅ 17 мин. пешкомЭлектрозаводская ⋅ 2 мин. на транспорте,"98,7 м²
Общая
10 из 12
Этаж
4 кв. 2020
Срок сдачи",34 650 214 ₽,N_A,VESTA Development,"Тип жилья
Новостройка Апартаменты
Отделка
Чистовая",N_A
"Москва, ЮАО, р-н Даниловский, Автозаводская ул.На карте",Технопарк ⋅ 12 мин. пешкомЗИЛ ⋅ 5 мин. на транспортеКоломенская ⋅ 4 мин. на транспорте,"43,5 м²
Общая
7 из 10
Этаж
2 кв. 2022
Срок сдачи",12 958 149 ₽,N_A,Среда обитания,"Тип жилья
Новостройка
Высота потолков
3,1 м",N_A
"Москва, ЮВАО, р-н Лефортово, проезд Завода Серп и МолотНа карте",Авиамоторная ⋅ 16 мин. пешкомМосква-Товарная ⋅ 18 мин. пешкомПлощадь Ильича ⋅ 3 мин. на транспорте,"64,5 м²
Общая
28,6 м²
Жилая
18,9 м²
Кухня
5 из 14
Этаж
2 кв. 2023
Срок сдачи",17 535 300 ₽,N_A,Донстрой,"Тип жилья
Новостройка
Площадь комнат
13 15.6 м²
Высота потолков
3,2 м
Санузел
2 совмещенных
Вид из окон
Во двор
Отделка
Чистовая",N_A
"Москва, ЦАО, р-н Басманный, Бакунинская ул., 5На карте",Бауманская ⋅ 2 мин. пешкомКрасносельская ⋅ 17 мин. пешкомЭлектрозаводская ⋅ 2 мин. на транспорте,"71,6 м²
Общая
62,6 м²
Жилая
9 из 12
Этаж
4 кв. 2020
Срок сдачи",25 527 476 ₽,N_A,VESTA Development,"Тип жилья
Новостройка Апартаменты
Площадь комнат
62.61 м²
Отделка
Чистовая",N_A
"Москва, СЗАО, р-н Хорошево-Мневники, ул. Паршина, 10На карте",Октябрьское поле ⋅ 5 мин. на транспортеЩукинская ⋅ 5 мин. на транспортеСпартак ⋅ 5 мин. на транспорте,"78,5 м²
Общая
36,2 м²
Жилая
19,9 м²
Кухня
20 из 20
Этаж
4 кв. 2020
Срок сдачи",29 956 869 ₽,N_A,Инград,"Тип жилья
Новостройка
Площадь комнат
17.2-19.0 м²
Высота потолков
3,3 м
Санузел
1 совмещенный, 1 раздельный
Балкон/лоджия
1 лоджия
Отделка
Нет",N_A
"Москва, СВАО, р-н Марьина роща, проезд 12-й Марьиной рощи, 8На карте",Марьина роща ⋅ 13 мин. пешкомБутырская ⋅ 20 мин. пешкомУлица Академика Королева ⋅ 4 мин. на транспорте,"92,3 м²
Общая
13,3 м²
Жилая
3 из 5
Этаж
3 кв. 2019
Срок сдачи",24 108 760 ₽,N_A,KR Properties,"Тип жилья
Новостройка Апартаменты
Площадь комнат
13.3 м²
Высота потолков
3,5 м
Санузел
2 совмещенных
Балкон/лоджия
1 лоджия
Вид из окон
На улицу и двор
Отделка
Нет",N_A
"Москва, САО, р-н Беговой, Ленинградский просп., 35С2",Динамо ⋅ 6 мин. пешкомПетровский Парк ⋅ 6 мин. пешкомЦСКА ⋅ 16 мин. пешком,"83,3 м²
Общая
29,9 м²
Жилая
20,6 м²
Кухня
7 из 11
Этаж
1 кв. 2019
Срок сдачи",22 241 100 ₽,"22 241 100 ₽
267 000 ₽/м²
Покупаете в ипотеку?",Галс-Девелопмент,N_A,N_A
"Москва, ЮАО, р-н Даниловский, бул. Братьев Весниных, 2На карте",Тульская ⋅ 15 мин. пешкомВерхние котлы ⋅ 8 мин. на транспортеЗИЛ ⋅ 16 мин. пешком,"70,6 м²
Общая
33,3 м²
Жилая
14,7 м²
Кухня
6 из 20
Этаж
2020
Построен",19 580 000 ₽,N_A,Навигатор недвижимости,"Тип жилья
Вторичка
Планировка
Изолированная
Площадь комнат
14.84-18,5 м²
Высота потолков
3 м
Санузел
2 совмещенных
Балкон/лоджия
1 лоджия
Ремонт
Без ремонта
Вид из окон
Во двор","О доме
По данным Циан
Тип дома
Монолитный
Лифты
2 пасс., 1 груз.
Парковка
Подземная
Мусоропровод
Есть"
"Москва, ЮЗАО, р-н Южное Бутово, ул. Академика Семенова, 5",Бунинская аллея ⋅ 8 мин. пешкомУлица Горчакова ⋅ 17 мин. пешкомБульвар Адмирала Ушакова ⋅ 5 мин. на транспорте,"27,1 м²
Общая
13 м²
Жилая
5 м²
Кухня
2 из 9
Этаж
2000
Построен",6 000 000 ₽,N_A,Capital Mars,N_A,N_A
"Москва, САО, р-н Хорошевский, Хорошевское ш., 25Ак1На карте",Полежаевская ⋅ 5 мин. пешкомХорошевская ⋅ 12 мин. пешкомБеговая ⋅ 17 мин. пешком,"65,6 м²
Общая
33,3 м²
Жилая
13,7 м²
Кухня
11 из 24
Этаж
4 кв. 2022
Срок сдачи",19 417 600 ₽,N_A,Sezar Group,"Тип жилья
Новостройка
Площадь комнат
33.3 м²
Высота потолков
3,1 м
Санузел
1 раздельный
Балкон/лоджия
1 лоджия
Вид из окон
Во двор
Отделка
Нет",N_A
"Москва, ЮЗАО, р-н Обручевский, Ленинский просп., 95БНа карте",Проспект Вернадского ⋅ 16 мин. пешкомНовые Черемушки ⋅ 8 мин. на транспортеЮго-Западная ⋅ 8 мин. на транспорте,"57 м²
Общая
36 м²
Жилая
7 м²
Кухня
9 из 33
Этаж
2017
Построен",27 500 000 ₽,"27 500 000 ₽
482 456 ₽/м²
Покупаете в ипотеку?",Capital Mars,"Тип жилья
Вторичка
Площадь комнат
36 м²
Высота потолков
2,7 м
Санузел
1 совмещенный
Ремонт
Дизайнерский
Вид из окон
Во двор","О доме
По данным Циан
Год постройки
2017
Тип перекрытий
Железобетонные
Подъезды
1
Лифты
2 пасс., 2 груз.
Отопление
Центральное
Аварийность
Нет
Парковка
Подземная
Мусоропровод
Нет"
"Москва, СВАО, р-н Останкинский, Аргуновская ул., 12На карте",ВДНХ ⋅ 15 мин. пешком,"52,9 м²
Общая
31,2 м²
Жилая
9,7 м²
Кухня
2 из 16
Этаж",12 000 000 ₽,N_A,Flat,"Тип жилья
Вторичка
Планировка
Изолированная
Площадь комнат
11.9-19.3 м²
Высота потолков
2,5 м
Санузел
1 совмещенный
Балкон/лоджия
1 лоджия
Ремонт
Без ремонта
Вид из окон
На улицу","О доме
По данным Циан
Год постройки
1978
Тип дома
Панельный
Тип перекрытий
Железобетонные
Подъезды
8
Лифты
1 пасс., 1 груз.
Отопление
Центральное
Аварийность
Нет"
"Москва, ЮАО, р-н Орехово-Борисово Южное, Воронежская ул., 34К5",Красногвардейская ⋅ 5 мин. пешкомШипиловская ⋅ 10 мин. пешкомДомодедовская ⋅ 10 мин. пешком,"37 м²
Общая
18 м²
Жилая
6 м²
Кухня
3 из 9
Этаж
1978
Построен",7 350 000 ₽,N_A,ID 50493345,N_A,N_A
"Москва, ЦАО, р-н Хамовники, Погодинская ул., 2На карте",Фрунзенская ⋅ 13 мин. пешкомКиевская ⋅ 14 мин. пешкомПарк Культуры ⋅ 20 мин. пешком,"102,3 м²
Общая
49,6 м²
Жилая
21,2 м²
Кухня
3 из 13
Этаж
4 кв. 2019
Срок сдачи",69 750 000 ₽,N_A,Донстрой,"Тип жилья
Новостройка
Площадь комнат
24.2 25.4 м²
Высота потолков
3,5 м
Санузел
1 совмещенный, 1 раздельный
Вид из окон
Во двор
Отделка
Нет",N_A
"Москва, ЗАО, р-н Раменки, 2-й Мосфильмовский пер., 6На карте",СпортивнаяКутузовская ⋅ 12 мин. на транспортеЛомоносовский проспект ⋅ 5 мин. на транспорте,"36 м²
Общая
20 м²
Жилая
9,5 м²
Кухня
5 из 12
Этаж
1965
Построен",9 900 000 ₽,N_A,МАКСИМУМ,"Тип жилья
Вторичка
Санузел
1 совмещенный
Балкон/лоджия
1 балкон","О доме
По данным Циан
Год постройки
1965
Строительная серия
II-18
Тип дома
Панельный
Тип перекрытий
Железобетонные
Подъезды
1
Лифты
Есть
Отопление
Центральное
Аварийность
Нет"
"Москва, ЗАО, р-н Раменки, Винницкая ул., 8На карте",Раменки ⋅ 11 мин. пешкомЛомоносовский проспект ⋅ 3 мин. на транспортеМичуринский проспект ⋅ 3 мин. на транспорте,"40,6 м²
Общая
16,6 м²
Жилая
10,9 м²
Кухня
5 из 28
Этаж
4 кв. 2022
Срок сдачи",14 726 188 ₽,N_A,Центр-Инвест,"Тип жилья
Новостройка
Площадь комнат
16.60 м²
Высота потолков
3 м
Санузел
1 совмещенный
Балкон/лоджия
1 лоджия",N_A
"Москва, ЦАО, р-н Хамовники, Барыковский пер., 6На карте",Кропоткинская ⋅ 9 мин. пешком,"89,3 м²
Общая
2 из 9
Этаж",55 366 000 ₽,N_A,Trust Realty,"Тип жилья
Вторичка
Ремонт
Евроремонт
Вид из окон
Во двор","О доме
По данным Циан
Лифты
Есть
Аварийность
Нет
Парковка
Подземная"
"Москва, ЦАО, р-н Хамовники, ул. ЕфремоваНа карте",Спортивная ⋅ 7 мин. пешкомФрунзенская ⋅ 10 мин. пешкомЛужники ⋅ 11 мин. пешком,"108,61 м²
Общая
57,3 м²
Жилая
22,5 м²
Кухня
8 из 8
Этаж
4 кв. 2020
Срок сдачи",70 338 616 ₽,N_A,ИНТЕКО,"Тип жилья
Новостройка
Площадь комнат
30.9-26.4 м²
Высота потолков
3,18 м
Санузел
1 совмещенный, 1 раздельный
Балкон/лоджия
1 лоджия
Вид из окон
Во двор",N_A
"Москва, ЦАО, р-н Пресненский, 2-я Черногрязская ул., 6к4На карте",Улица 1905 года ⋅ 9 мин. пешкомВыставочная ⋅ 4 мин. на транспортеШелепиха ⋅ 3 мин. на транспорте,"81,8 м²
Общая
38 м²
Жилая
15 м²
Кухня
13 из 21
Этаж",46 140 000 ₽,"46 140 000 ₽564 059 ₽/м²
Покупаете в ипотеку?",ТОПБН,"Тип жилья
Вторичка
Планировка
Изолированная
Площадь комнат
20-18 м²
Высота потолков
3 м
Санузел
2 совмещенных
Балкон/лоджия
1 лоджия
Ремонт
Без ремонта
Вид из окон
Во двор","О доме
По данным Циан
Год постройки
2017
Тип дома
Монолитный
Тип перекрытий
Железобетонные
Подъезды
1
Лифты
2 всего
Отопление
Центральное
Аварийность
Нет"
"Москва, САО, р-н Хорошевский, Хорошевское ш., 25Ак1На карте",Полежаевская ⋅ 5 мин. пешкомХорошевская ⋅ 12 мин. пешкомБеговая ⋅ 17 мин. пешком,"63,4 м²
Общая
27,4 м²
Жилая
15 м²
Кухня
21 из 24
Этаж
4 кв. 2020
Срок сдачи",25 360 000 ₽,"25 360 000 ₽
400 000 ₽/м²
Покупаете в ипотеку?",Sezar Group,"Тип жилья
Новостройка
Площадь комнат
27.4 м²
Высота потолков
4 м
Санузел
1 раздельный
Балкон/лоджия
1 лоджия
Вид из окон
Во двор
Отделка
Нет",N_A
"Москва, ЮВАО, р-н Лефортово, проезд Завода Серп и МолотНа карте",Авиамоторная ⋅ 16 мин. пешкомМосква-Товарная ⋅ 18 мин. пешкомПлощадь Ильича ⋅ 3 мин. на транспорте,"40,3 м²
Общая
12,7 м²
Жилая
18,8 м²
Кухня
22 из 27
Этаж
4 кв. 2022
Срок сдачи",11 430 870 ₽,N_A,Донстрой,"Тип жилья
Новостройка
Площадь комнат
12.7 м²
Высота потолков
3 м
Санузел
1 совмещенный
Вид из окон
Во двор
Отделка
Чистовая",N_A
"Москва, ЦАО, р-н Басманный, ул. Новая ДорогаНа карте",Лефортово ⋅ 13 мин. пешкомЭлектрозаводская ⋅ 14 мин. пешкомБауманская ⋅ 20 мин. пешком,"48,7 м²
Общая
11,8 м²
Жилая
25,6 м²
Кухня
15 из 15
Этаж
3 кв. 2021
Срок сдачи",17 580 700 ₽,N_A,КОРТРОС,"Тип жилья
Новостройка
Площадь комнат
11.8 м²
Высота потолков
2,93 м
Санузел
1 совмещенный",N_A
"Москва, ЦАО, р-н Басманный, Бакунинская ул., 5На карте",Бауманская ⋅ 2 мин. пешкомКрасносельская ⋅ 17 мин. пешкомЭлектрозаводская ⋅ 2 мин. на транспорте,"89,1 м²
Общая
8 из 12
Этаж
4 кв. 2020
Срок сдачи",29 351 232 ₽,N_A,VESTA Development,"Тип жилья
Новостройка Апартаменты
Отделка
Чистовая",N_A
"Москва, ЦАО, р-н Пресненский, Звенигородское ш., 11На карте",Улица 1905 года ⋅ 10 мин. пешкомБеговая ⋅ 3 мин. на транспортеКраснопресненская ⋅ 2 мин. на транспорте,"53,18 м²
Общая
15,5 м²
Жилая
25,5 м²
Кухня
5 из 17
Этаж
2 кв. 2021
Срок сдачи",41 582 317 ₽,N_A,РосСтройИнвест,"Тип жилья
Новостройка
Площадь комнат
15.46 м²
Санузел
1 совмещенный
Отделка
Чистовая",N_A
"Москва, ЮЗАО, р-н Академический, ул. Шверника, 6К1",Академическая ⋅ 8 мин. пешкомКрымская ⋅ 20 мин. пешкомЛенинский проспект ⋅ 20 мин. пешком,"31 м²
Общая
18,6 м²
Жилая
5,3 м²
Кухня
4 из 5
Этаж
1960
Построен",8 950 000 ₽,N_A,Capital Mars,N_A,N_A
"Москва, ЦАО, р-н Басманный, Старокирочный пер., 6На карте",Бауманская ⋅ 6 мин. пешкомЛефортово ⋅ 3 мин. на транспортеКрасносельская ⋅ 4 мин. на транспорте,"20 м²
Общая
2 из 4
Этаж",6 390 000 ₽,N_A,Виктор Долгорукий,"Тип жилья
Вторичка Апартаменты
Ремонт
Без ремонта",N_A
"Москва, ЦАО, р-н Пресненский, Малый Трехгорный пер., 8/10С1",Краснопресненская ⋅ 9 мин. пешкомУлица 1905 года ⋅ 10 мин. пешкомБаррикадная ⋅ 13 мин. пешком,"36,4 м²
Общая
19,5 м²
Жилая
9 м²
Кухня
4 из 5
Этаж
1958
Построен",12 200 000 ₽,N_A,EldiRaif,N_A,N_A
"Москва, НАО (Новомосковский), Сосенское поселение, ул. Николо-Хованская, 16На карте",Прокшино ⋅ 15 мин. пешкомОльховая ⋅ 7 мин. на транспортеТеплый Стан ⋅ 12 мин. на транспорте,"75 м²
Общая
9 из 9
Этаж
2015
Построен",13 900 000 ₽,N_A,N_A,"Тип жилья
Вторичка
Высота потолков
5 м
Санузел
1 совмещенный, 1 раздельный
Балкон/лоджия
2 балкона
Ремонт
Без ремонта
Вид из окон
На улицу и двор","О доме
По данным Циан
Тип дома
Монолитно кирпичный
Лифты
1 пасс., 1 груз.
Парковка
Наземная
Мусоропровод
Есть"
"Москва, ЦАО, р-н Басманный, Старокирочный пер., 6На карте",Бауманская ⋅ 6 мин. пешкомЛефортово ⋅ 3 мин. на транспортеКрасносельская ⋅ 4 мин. на транспорте,"23,66 м²
Общая
1 из 4
Этаж",7 990 000 ₽,N_A,Виктор Долгорукий,"Тип жилья
Вторичка Апартаменты
Санузел
1 совмещенный
Ремонт
Дизайнерский
Вид из окон
На улицу",N_A
"Москва, ЮАО, р-н Даниловский, Дербеневская наб., 13/17К3На карте",Павелецкая ⋅ 22 мин. пешкомПролетарская ⋅ 20 мин. пешкомКрестьянская застава ⋅ 4 мин. на транспорте,"29 м²
Общая
20 м²
Жилая
4 м²
Кухня
4 из 9
Этаж
1961
Построен",10 000 000 ₽,N_A,НАМОС НЕДВИЖИМОСТЬ,"Тип жилья
Вторичка
Площадь комнат
20 м²
Санузел
1 совмещенный
Балкон/лоджия
1 балкон
Ремонт
Дизайнерский
Вид из окон
Во двор","О доме
По данным Циан
Год постройки
1961
Тип дома
Кирпичный
Тип перекрытий
Железобетонные
Подъезды
5
Лифты
Есть
Отопление
Центральное
Аварийность
Нет
Газоснабжение
Центральное"
"Москва, САО, р-н Беговой, Ленинградский просп., 29к1На карте",Динамо ⋅ 7 мин. пешкомПетровский Парк ⋅ 10 мин. пешкомБелорусская ⋅ 19 мин. пешком,"40 м²
Общая
25 м²
Жилая
8 м²
Кухня
12 из 18
Этаж
2018
Построен",18 850 000 ₽,N_A,ДомЭль - Отделение на Добрынинской,"Тип жилья
Вторичка
Санузел
1 совмещенный
Ремонт
Дизайнерский
Вид из окон
Во двор","О доме
По данным Циан
Год постройки
2018
Тип дома
Монолитный
Лифты
1 пасс., 1 груз.
Аварийность
Нет
Парковка
Подземная
Мусоропровод
Есть"
"Москва, ЮЗАО, р-н Ломоносовский, ул. Вавилова, 69АНа карте",Профсоюзная ⋅ 7 мин. пешкомАкадемическая ⋅ 5 мин. на транспортеУниверситет ⋅ 5 мин. на транспорте,"75,81 м²
Общая
39,7 м²
Жилая
15,1 м²
Кухня
18 из 20
Этаж",25 000 000 ₽,"25 000 000 ₽329 772 ₽/м²
Покупаете в ипотеку?",Азбука Жилья Бизнес,"Тип жилья
Вторичка
Планировка
Изолированная
Площадь комнат
19.8-19.9 м²
Высота потолков
3,3 м
Санузел
1 раздельный
Балкон/лоджия
1 лоджия
Ремонт
Без ремонта
Вид из окон
На улицу и двор","О доме
По данным Циан
Год постройки
2019
Тип дома
Монолитный
Тип перекрытий
Железобетонные
Подъезды
3
Лифты
1 пасс., 1 груз.
Отопление
Индивидуальный тепловой пункт
Аварийность
Нет"
"Москва, ЮЗАО, р-н Южное Бутово, ул. Академика Семенова, 5На карте",Бунинская аллея ⋅ 5 мин. пешком,"27,1 м²
Общая
13,9 м²
Жилая
5,5 м²
Кухня
2 из 9
Этаж",5 950 000 ₽,N_A,НАМОС НЕДВИЖИМОСТЬ,"Тип жилья
Вторичка
Площадь комнат
13.9 м²
Санузел
1 совмещенный
Ремонт
Косметический","О доме
По данным Циан
Год постройки
2000
Строительная серия
П-46
Тип дома
Панельный
Тип перекрытий
Железобетонные
Подъезды
3
Лифты
3 всего
Отопление
Центральное
Аварийность
Нет"
"Москва, ЦАО, р-н Басманный, Новорязанская ул., 26С1На карте",Бауманская ⋅ 11 мин. пешкомКомсомольская ⋅ 13 мин. пешком,"105 м²
Общая
2 из 3
Этаж",19 950 000 ₽,N_A,Whitewill Вторичная недвижимость,"Тип жилья
Вторичка Апартаменты","О доме
По данным Циан
Год постройки
2015
Тип дома
Монолитный
Аварийность
Нет"
"Москва, ЦАО, р-н Басманный, Старокирочный пер., 6На карте",Бауманская ⋅ 6 мин. пешком,"23,64 м²
Общая
2 из 4
Этаж",8 490 000 ₽,N_A,Виктор Долгорукий,"Тип жилья
Вторичка Апартаменты
Санузел
1 совмещенный
Ремонт
Косметический",N_A
"Москва, ЦАО, р-н Хамовники, ул. Ефремова, 10с1к4/5На карте",Фрунзенская ⋅ 5 мин. пешкомСпортивная ⋅ 7 мин. пешкомЛужники ⋅ 11 мин. пешком,"63 м²
Общая
29,5 м²
Жилая
15 м²
Кухня
8 из 10
Этаж",53 900 000 ₽,N_A,Century 21 Level,"Тип жилья
Вторичка
Планировка
Изолированная
Площадь комнат
15.5-14 м²
Высота потолков
3,2 м
Санузел
1 совмещенный
Балкон/лоджия
1 лоджия
Ремонт
Дизайнерский
Вид из окон
Во двор","О доме
По данным Циан
Тип дома
Монолитный
Лифты
1 пасс., 1 груз."
"Москва, ЗАО, р-н Солнцево, Солнцевский просп., 23К1На карте",Солнцево ⋅ 20 мин. пешкомГоворово ⋅ 24 мин. пешкомРумянцево ⋅ 36 мин. пешком,"53,5 м²
Общая
30,4 м²
Жилая
8,8 м²
Кухня
6 из 14
Этаж
1987
Построен",9 250 000 ₽,N_A,Михаил Павлунин,"Тип жилья
Вторичка
Планировка
Изолированная
Площадь комнат
17,1+13,3 м²
Высота потолков
2,64 м
Санузел
1 раздельный
Балкон/лоджия
1 балкон
Ремонт
Без ремонта
Вид из окон
Во двор","О доме
По данным Циан
Год постройки
1987
Строительная серия
П-46
Тип дома
Панельный
Тип перекрытий
Железобетонные
Подъезды
4
Лифты
2 пасс.
Отопление
Центральное
Аварийность
Нет
Мусоропровод
Есть"
"Москва, САО, р-н Хорошевский, ул. ЗоргеНа карте",Полежаевская ⋅ 12 мин. пешкомХорошево ⋅ 14 мин. пешкомЗорге ⋅ 15 мин. пешком,"60,9 м²
Общая
28,8 м²
Жилая
7,6 м²
Кухня
3 из 26
Этаж
1 кв. 2022
Срок сдачи",17 198 160 ₽,N_A,ФСК,"Тип жилья
Новостройка
Площадь комнат
28.80 м²
Высота потолков
3 м
Балкон/лоджия
1 балкон
Отделка
Чистовая",N_A
"Москва, СЗАО, р-н Хорошево-Мневники, 3-я Хорошевская ул., 27к1На карте",Октябрьское поле ⋅ 15 мин. пешкомЗорге ⋅ 17 мин. пешкомХорошево ⋅ 3 мин. на транспорте,"76,3 м²
Общая
2 из 22
Этаж",25 990 000 ₽,N_A,Ramenky Realty,"Тип жилья
Вторичка
Планировка
Изолированная
Санузел
2 совмещенных
Ремонт
Евроремонт","О доме
По данным Циан
Тип дома
Монолитно кирпичный
Парковка
Многоуровневая"
"Москва, ЦАО, р-н Пресненский, пер. Брюсов, 2/14С1На карте",Охотный ряд,"103 м²
Общая
2 из 5
Этаж",109 958 550 ₽,N_A,ID 12333383,"Тип жилья
Вторичка
Санузел
2 раздельных
Ремонт
Дизайнерский
Вид из окон
На улицу и двор","О доме
По данным Циан
Год постройки
1915
Тип дома
Кирпичный
Тип перекрытий
Деревянные
Подъезды
1
Лифты
Есть
Отопление
Центральное
Аварийность
Нет
Парковка
Наземная
Газоснабжение
Центральное"
"Москва, ЦАО, р-н Замоскворечье, Климентовский пер., 2На карте",Новокузнецкая ⋅ 1 мин. пешкомТретьяковская ⋅ 5 мин. пешком,"104 м²
Общая
10 из 12
Этаж
2005
Построен",70 000 000 ₽,N_A,Knight Frank,"Тип жилья
Вторичка
Высота потолков
3,2 м
Санузел
2 совмещенных
Ремонт
Дизайнерский
Вид из окон
На улицу и двор","О доме
По данным Циан
Год постройки
2005
Тип дома
Монолитный
Тип перекрытий
Железобетонные
Подъезды
4
Лифты
Есть
Отопление
Центральное
Аварийность
Нет
Парковка
Подземная"
"Москва, ЦАО, р-н Пресненский, Вознесенский пер., 16/4На карте",Тверская,"72 м²
Общая
1 из 5
Этаж",51 313 990 ₽,N_A,ID 12333383,"Тип жилья
Вторичка
Санузел
1 раздельный
Балкон/лоджия
1 балкон
Ремонт
Дизайнерский
Вид из окон
На улицу и двор","О доме
По данным Циан
Год постройки
1876
Тип дома
Кирпичный
Тип перекрытий
Железобетонные
Подъезды
4
Лифты
4 всего
Отопление
Центральное
Аварийность
Нет
Парковка
Наземная"
"Москва, СЗАО, р-н Хорошево-Мневники, Шелепихинская наб., 34к3На карте",Шелепиха ⋅ 18 мин. пешкомУлица 1905 года ⋅ 5 мин. на транспортеХорошевская ⋅ 4 мин. на транспорте,"71 м²
Общая
10 из 24
Этаж",22 600 000 ₽,N_A,Ramenky Realty,"Тип жилья
Вторичка
Планировка
Изолированная
Санузел
2 совмещенных
Ремонт
Без ремонта","О доме
По данным Циан
Год постройки
2020
Тип дома
Монолитный
Тип перекрытий
Железобетонные
Подъезды
4
Лифты
24 всего
Отопление
Индивидуальный тепловой пункт
Аварийность
Нет
Парковка
Многоуровневая"
"Москва, САО, р-н Беговой, Верхняя ул., 20к1На карте",Белорусская ⋅ 8 мин. пешкомДинамо ⋅ 5 мин. на транспортеПетровский Парк ⋅ 5 мин. на транспорте,"84,7 м²
Общая
39,3 м²
Жилая
14,1 м²
Кухня
20 из 24
Этаж",47 300 000 ₽,N_A,Агент Риэлтор,"Тип жилья
Вторичка
Планировка
Изолированная
Санузел
2 совмещенных
Ремонт
Без ремонта","О доме
По данным Циан
Тип дома
Монолитно кирпичный"
"Москва, ЮВАО, р-н Печатники, Шоссейная ул., 4к1На карте",Печатники ⋅ 1 мин. пешкомВолжская ⋅ 4 мин. на транспортеКубанская ⋅ 12 мин. пешком,"52 м²
Общая
29 м²
Жилая
6 м²
Кухня
5 из 9
Этаж
1973
Построен",12 500 000 ₽,N_A,Небоскреб,"Тип жилья
Вторичка
Площадь комнат
19-10 м²
Высота потолков
2,64 м
Санузел
1 совмещенный
Балкон/лоджия
1 лоджия
Ремонт
Евроремонт
Вид из окон
На улицу","О доме
По данным Циан
Год постройки
1973
Строительная серия
II-49
Тип дома
Панельный
Тип перекрытий
Железобетонные
Подъезды
4
Лифты
Есть
Отопление
Центральное
Аварийность
Нет
Мусоропровод
Есть
Газоснабжение
Центральное"
"Москва, ЦАО, р-н Пресненский, Большая Садовая ул., 5к1На карте",МаяковскаяБелорусскаяПушкинская,"80 м²
Общая
13 из 13
Этаж
2016
Построен",56 000 000 ₽,N_A,Knight Frank,"Тип жилья
Вторичка Апартаменты
Высота потолков
4,9 м
Санузел
2 совмещенных
Ремонт
Дизайнерский
Вид из окон
На улицу и двор","О доме
По данным Циан
Год постройки
2016
Тип дома
Монолитный
Лифты
Есть
Аварийность
Нет
Парковка
Открытая"
"Москва, ЦАО, р-н Пресненский, Ходынская ул., 2На карте",Улица 1905 года ⋅ 7 мин. пешкомБелорусская ⋅ 10 мин. пешкомБеговая ⋅ 3 мин. на транспорте,"65,3 м²
Общая
28,5 м²
Жилая
15 м²
Кухня
6 из 44
Этаж",25 500 000 ₽,N_A,Агент Риэлтор,"Тип жилья
Вторичка
Планировка
Изолированная
Площадь комнат
16.1-12.4 м²
Санузел
2 совмещенных
Ремонт
Без ремонта","О доме
По данным Циан
Год постройки
2018
Тип дома
Монолитный
Лифты
Есть
Аварийность
Нет
Парковка
Многоуровневая"
